以下是所有节点的时间信息完整版。考虑到上一轮节点的部分遗漏，本版对节点列表进行了补充和精修，按四类分别给出。

---

## 一、人名节点

### 导师辈

| 节点 | 关系 | 时间 | 描述 |
| :--- | :--- | :--- | :--- |
| **李飞飞 (Fei-Fei Li)** | 核心人物 | 1976年出生于北京，1992年赴美，1999年普林斯顿物理学学士，2000年进入加州理工学院，2005年获Caltech电气工程博士学位；2005–2006 UIUC助理教授，2007–2009普林斯顿助理教授，2009年加入斯坦福，2012年获终身教职（副教授），2013–2018任SAIL主任，2017–2018在谷歌任Cloud AI/ML首席科学家，2019年出任HAI联合主任，2020年当选美国国家工程院院士和美国国家医学院院士，2020–2022任Twitter独立董事，2024年创办World Labs | 斯坦福大学首位红杉讲席教授，ImageNet创始人，被称为“AI教母”；聚焦计算机视觉、具身智能和空间智能 |
| **Pietro Perona** | 博士主导师 | 1961年9月3日出生；1985年意大利帕多瓦大学工程学位；1990年UC伯克利博士；1991年秋加入加州理工学院任助理教授，1996年升正教授，2006年获Allen E. Puckett教授头衔；1999–2005任NSF神经形态系统工程研究中心主任 | 加州理工学院电气工程教授，以各向异性扩散方程闻名；2001–2005年间指导李飞飞博士论文 |
| **Christof Koch** | 博士副导师/兼职主管 | 1982年获Max Planck生物控制论研究所博士学位；1982–1986在MIT人工智能实验室做博士后；1986–2013在加州理工学院历任助理教授至Lois and Victor Troendle教授；2011年加入艾伦脑科学研究所任首席科学官，2015年升所长，2020年起任MindScope项目首席科学家 | 计算神经科学家，意识研究权威；博士期间与Perona联合指导李飞飞 |
| **Jitendra Malik** | 学术"祖师爷"(Pietro Perona的博导) | 1960年生于印度马图拉；1980年IIT Kanpur电气工程学士；1985年斯坦福大学计算机科学博士；1986年1月加入UC伯克利任助理教授，1991年晋升副教授，1996年晋升正教授，2002年起任Arthur J. Chick讲席教授；2016–2017任EECS系主任；2018–2024在Meta FAIR任职，2025年起任Meta FAIR机器人研究VP | 计算机视觉领域奠基人之一；李飞飞称其是对自己影响最大的三位学者之一 |
| **Valentin Braitenberg** | Christof Koch的博导之一(师公辈) | 1926年6月18日出生于意大利博尔扎诺，2011年9月9日逝世于德国图宾根；曾任马克斯·普朗克生物控制论研究所所长 | 计算神经科学先驱，以Braitenberg Vehicles概念闻名于世 |
| **Tomaso Poggio** | Christof Koch的博导之一(师公辈) | 1947年生于意大利热那亚；1971年获热那亚大学理论物理学博士；1972–1981在Max Planck生物控制论研究所工作；1981年加入MIT任副教授，1984年晋升正教授；2000年起为McGovern脑科学研究所成员；现任MIT Eugene McDermott讲席教授 | MIT教授，计算神经科学和计算机视觉先驱，深度学习理论奠基人之一 |


### 学生辈

| 节点 | 关系 | 时间 | 描述 |
| :--- | :--- | :--- | :--- |
| **Andrej Karpathy** | 博士生 | 2011–2015在斯坦福攻读计算机科学博士，师从李飞飞；2015–2017任OpenAI创始成员/研究科学家；2017–2022任特斯拉AI高级总监；2023–2024重返OpenAI；2024年起运营AI教育YouTube频道 | 与李飞飞共同设计并主讲了第一版CS231n（2015年）；曾任特斯拉Autopilot计算机视觉团队负责人 |
| **Jim Fan (范麟熙)** | 博士生 | 2016年哥伦比亚大学本科毕业；2021年获斯坦福大学博士学位；2021年起加入英伟达任AI研究院科学家；2024年初成为英伟达GEAR实验室联合负责人 | 曾在OpenAI实习（OpenAI第一位实习生）；任英伟达GEAR实验室联合负责人，聚焦具身智能与多模态大模型 |
| **Yuke Zhu (朱玉可)** | 博士生 | 浙江大学与SFU本科双学位；2019年8月获斯坦福大学博士学位（师从李飞飞与Silvio Savarese）；2020年秋季加入UT Austin任助理教授；同时任英伟达高级研究科学家，GEAR实验室联合负责人 | 因SURREAL机器人框架闻名；获ICRA 2019最佳论文奖 |
| **卢策吾** | 博士后 | 1982年10月出生；2006年重庆邮电大学通信工程本科；2009年中国科学院电子学硕士；2013年香港中文大学计算机视觉博士；2013–2015香港科技大学博士后；2015–2016在斯坦福大学AI实验室从事博士后研究（师从李飞飞）；2016年9月回国任上海交大计算机系研究员，2021年起任教授 | 具身智能领域学者；2023年联合创办穹彻智能（Noematrix）；获2023年科学探索奖 |
| **Jia Deng (邓嘉)** | 博士生/合作者 | ImageNet核心研究成员，ImageNet论文第一作者；清华本科，普林斯顿博士；2018年起任普林斯顿大学计算机科学系助理教授，2025年晋升正教授；此前曾在密歇根大学任教 | ImageNet论文（CVPR 2009）第一作者 |
| **Olga Russakovsky** | 博士生 | 斯坦福博士，师从李飞飞；现为普林斯顿大学计算机科学系副教授及普林斯顿人工智能实验室副主任；2017年联合创办AI4ALL并任董事会主席 | AI4ALL联合创始人；2017年获MIT TR35；SAILORS项目发起人 |


### 学术合作者

| 节点 | 关系 | 时间 | 描述 |
| :--- | :--- | :--- | :--- |
| **Silvio Savarese** | 学术合作者(也是丈夫) | 2008–2013在密歇根大学任电气与计算机工程助理/副教授；2013年加入斯坦福大学任计算机科学系副教授；2017年获终身教职；现任Salesforce首席科学家 | 斯坦福视觉实验室重要成员；与李飞飞在机器人学习、3D视觉领域长期合作 |
| **吴佳俊** | 同事/合作者 | 1992年出生；2014年清华姚班毕业；MIT博士；2020年初加入斯坦福大学任计算机科学系助理教授 | 清华姚班校友，研究AI基础理论与具身认知 |
| **马腾宇** | 同事/合作者 | 清华2008级姚班校友，2012届毕业；2017年普林斯顿大学博士毕业；2018年起任斯坦福大学计算机科学与统计学助理教授；2021年获斯隆研究奖 | 斯坦福同事；研究机器学习理论、深度学习、强化学习 |
| **Kai Li (李凯)** | ImageNet项目合作者 | 1986年耶鲁大学博士毕业，同年加入普林斯顿大学；现任普林斯顿大学Paul M. and Marcia R. Wythes计算机科学讲席教授 | ImageNet项目早期团队成员，普林斯顿大学资深教授 |
| **李佳** | 谷歌云共事者 | 本科毕业于中国科大自动化系；曾任Snapchat研发主管（2015–2016）；2016年11月与李飞飞一同加入谷歌，任Google云AI研发主管；2017年12月与李飞飞共同领导谷歌AI中国中心；2018年11月从谷歌离职 | Google Cloud AI研发负责人，与李飞飞在谷歌云时期紧密共事 |


### 工业界联系/投资人

| 节点 | 关系 | 时间 | 描述 |
| :--- | :--- | :--- | :--- |
| **Geoffrey Hinton** | World Labs个人投资人 | 2024年9月13日参与World Labs A-II轮融资，以个人身份投资 | 深度学习三巨头之一，图灵奖得主 |
| **Jeff Dean** | World Labs个人投资人 | 1968年7月23日出生；1996年华盛顿大学计算机博士；1999年加入谷歌，2018年起任Google AI负责人，2023年被任命为Alphabet首席科学家；2024年9月以个人身份投资World Labs | 谷歌元老级人物，Google AI/DeepMind首席科学家 |


### 其他关联人物

| 节点 | 关系 | 时间 | 描述 |
| :--- | :--- | :--- | :--- |
| **John Etchemendy** | HAI联合主任 | 斯坦福大学哲学博士（1982年）；2000–2017任斯坦福大学第12任教务长；2019年与李飞飞共同领导斯坦福HAI | 斯坦福大学前教务长，与李飞飞共同创立HAI |
| **Christopher Manning** | SAIL主任继任者 | 1994年斯坦福语言学博士；1999年加入斯坦福任助理教授，2012年起任计算机科学与语言学正教授；2018年11月接替李飞飞任SAIL主任，任职至2025年；现任斯坦福大学Thomas M. Siebel机器学习讲席教授及HAI联合副主任 | 自然语言处理领域权威，CS224N课程主讲人 |
| **Andrew Moore** | 谷歌云职位继任者 | 2006–2014年首次就职谷歌；2018年年底接替李飞飞任Google Cloud AI负责人 | 前CMU计算机科学学院院长 |
| **Justin Johnson** | World Labs联合创始人 | 2018年获斯坦福大学计算机科学博士（师从李飞飞）；与李飞飞、Karpathy共同主讲CS231n（2015年起）；后曾在密歇根大学任教 | 博士毕业于李飞飞门下；CS231n联合讲师；World Labs创始团队成员 |
| **Ben Mildenhall** | World Labs联合创始人 | 2021–2023在Google Research任研究科学家；2023年底离开谷歌加入World Labs | NeRF技术共同发明人之一；World Labs创始团队成员 |
